antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Mouse, USB Cable","Laptop, Keyboard",0.13,0.3433333333333333,0.1,0.7692307692307693,2.2404779686333085,1.0,0.055366666666666675,2.8455555555555563,0.6363984674329503,0.2678571428571429,0.6485747754783288,0.5302464525765497
"Laptop, USB Cable","Mouse, Keyboard",0.13,0.3433333333333333,0.1,0.7692307692307693,2.2404779686333085,1.0,0.055366666666666675,2.8455555555555563,0.6363984674329503,0.2678571428571429,0.6485747754783288,0.5302464525765497
"Laptop, Monitor","Mouse, Keyboard",0.13,0.3433333333333333,0.1,0.7692307692307693,2.2404779686333085,1.0,0.055366666666666675,2.8455555555555563,0.6363984674329503,0.2678571428571429,0.6485747754783288,0.5302464525765497
"Mouse, Monitor","Laptop, Keyboard",0.13,0.3433333333333333,0.1,0.7692307692307693,2.2404779686333085,1.0,0.055366666666666675,2.8455555555555563,0.6363984674329503,0.2678571428571429,0.6485747754783288,0.5302464525765497
"Laptop, Monitor, USB Cable","Mouse, Keyboard",0.13,0.3433333333333333,0.1,0.7692307692307693,2.2404779686333085,1.0,0.055366666666666675,2.8455555555555563,0.6363984674329503,0.2678571428571429,0.6485747754783288,0.5302464525765497
"Mouse, Monitor, USB Cable","Laptop, Keyboard",0.13,0.3433333333333333,0.1,0.7692307692307693,2.2404779686333085,1.0,0.055366666666666675,2.8455555555555563,0.6363984674329503,0.2678571428571429,0.6485747754783288,0.5302464525765497
"Laptop, Headphones","Mouse, Keyboard",0.17333333333333334,0.3433333333333333,0.12333333333333334,0.7115384615384616,2.0724421209858104,1.0,0.06382222222222222,2.276444444444445,0.6259808195292066,0.31355932203389836,0.5607184693479109,0.5353808812546677
"Mouse, Headphones","Laptop, Keyboard",0.17333333333333334,0.3433333333333333,0.12333333333333334,0.7115384615384616,2.0724421209858104,1.0,0.06382222222222222,2.276444444444445,0.6259808195292066,0.31355932203389836,0.5607184693479109,0.5353808812546677
"USB Cable, Keyboard","Laptop, Mouse",0.1,0.49333333333333335,0.1,1.0,2.027027027027027,1.0,0.050666666666666665,inf,0.5629629629629629,0.2027027027027027,1.0,0.6013513513513513
"Keyboard, Headphones","Laptop, Mouse",0.12333333333333334,0.49333333333333335,0.12333333333333334,1.0,2.027027027027027,1.0,0.062488888888888885,inf,0.5779467680608364,0.25,1.0,0.625
"Monitor, Keyboard","Laptop, Mouse",0.1,0.49333333333333335,0.1,1.0,2.027027027027027,1.0,0.050666666666666665,inf,0.5629629629629629,0.2027027027027027,1.0,0.6013513513513513
"USB Cable, Monitor, Keyboard","Laptop, Mouse",0.1,0.49333333333333335,0.1,1.0,2.027027027027027,1.0,0.050666666666666665,inf,0.5629629629629629,0.2027027027027027,1.0,0.6013513513513513
"Mouse, Monitor, USB Cable",Keyboard,0.13,0.39,0.1,0.7692307692307693,1.9723865877712032,1.0,0.049300000000000004,2.643333333333334,0.5666666666666667,0.23809523809523808,0.621689785624212,0.5128205128205129
"Laptop, USB Cable, Mouse",Keyboard,0.13,0.39,0.1,0.7692307692307693,1.9723865877712032,1.0,0.049300000000000004,2.643333333333334,0.5666666666666667,0.23809523809523808,0.621689785624212,0.5128205128205129
"Laptop, Monitor, USB Cable, Mouse",Keyboard,0.13,0.39,0.1,0.7692307692307693,1.9723865877712032,1.0,0.049300000000000004,2.643333333333334,0.5666666666666667,0.23809523809523808,0.621689785624212,0.5128205128205129
"Laptop, Monitor, USB Cable",Keyboard,0.13,0.39,0.1,0.7692307692307693,1.9723865877712032,1.0,0.049300000000000004,2.643333333333334,0.5666666666666667,0.23809523809523808,0.621689785624212,0.5128205128205129
"Laptop, USB Cable",Keyboard,0.13,0.39,0.1,0.7692307692307693,1.9723865877712032,1.0,0.049300000000000004,2.643333333333334,0.5666666666666667,0.23809523809523808,0.621689785624212,0.5128205128205129
"Laptop, Monitor",Keyboard,0.13,0.39,0.1,0.7692307692307693,1.9723865877712032,1.0,0.049300000000000004,2.643333333333334,0.5666666666666667,0.23809523809523808,0.621689785624212,0.5128205128205129
"Laptop, Monitor, Mouse",Keyboard,0.13,0.39,0.1,0.7692307692307693,1.9723865877712032,1.0,0.049300000000000004,2.643333333333334,0.5666666666666667,0.23809523809523808,0.621689785624212,0.5128205128205129
"Mouse, Monitor",Keyboard,0.13,0.39,0.1,0.7692307692307693,1.9723865877712032,1.0,0.049300000000000004,2.643333333333334,0.5666666666666667,0.23809523809523808,0.621689785624212,0.5128205128205129
"Mouse, USB Cable",Keyboard,0.13,0.39,0.1,0.7692307692307693,1.9723865877712032,1.0,0.049300000000000004,2.643333333333334,0.5666666666666667,0.23809523809523808,0.621689785624212,0.5128205128205129
"Laptop, Monitor",Mouse,0.13,0.5266666666666666,0.13,1.0,1.89873417721519,1.0,0.06153333333333334,inf,0.5440613026819924,0.24683544303797472,1.0,0.6234177215189873
"Laptop, Monitor, USB Cable, Keyboard",Mouse,0.1,0.5266666666666666,0.1,1.0,1.89873417721519,1.0,0.04733333333333334,inf,0.5259259259259259,0.18987341772151903,1.0,0.5949367088607596
Mouse,"Laptop, Keyboard",0.5266666666666666,0.3433333333333333,0.3433333333333333,0.6518987341772152,1.89873417721519,1.0,0.16251111111111113,1.8864242424242428,1.0,0.6518987341772152,0.46989654950844956,0.8259493670886076
"Laptop, Keyboard",Mouse,0.3433333333333333,0.5266666666666666,0.3433333333333333,1.0,1.89873417721519,1.0,0.16251111111111113,inf,0.7208121827411168,0.6518987341772152,1.0,0.8259493670886076
"Monitor, Keyboard",Mouse,0.1,0.5266666666666666,0.1,1.0,1.89873417721519,1.0,0.04733333333333334,inf,0.5259259259259259,0.18987341772151903,1.0,0.5949367088607596
"Laptop, Monitor, USB Cable",Mouse,0.13,0.5266666666666666,0.13,1.0,1.89873417721519,1.0,0.06153333333333334,inf,0.5440613026819924,0.24683544303797472,1.0,0.6234177215189873
"USB Cable, Keyboard",Mouse,0.1,0.5266666666666666,0.1,1.0,1.89873417721519,1.0,0.04733333333333334,inf,0.5259259259259259,0.18987341772151903,1.0,0.5949367088607596
"Laptop, Headphones",Mouse,0.17333333333333334,0.5266666666666666,0.17333333333333334,1.0,1.89873417721519,1.0,0.08204444444444446,inf,0.5725806451612905,0.32911392405063294,1.0,0.6645569620253164
"Laptop, USB Cable",Mouse,0.13,0.5266666666666666,0.13,1.0,1.89873417721519,1.0,0.06153333333333334,inf,0.5440613026819924,0.24683544303797472,1.0,0.6234177215189873
"USB Cable, Monitor, Keyboard",Mouse,0.1,0.5266666666666666,0.1,1.0,1.89873417721519,1.0,0.04733333333333334,inf,0.5259259259259259,0.18987341772151903,1.0,0.5949367088607596
"Keyboard, Headphones",Mouse,0.12333333333333334,0.5266666666666666,0.12333333333333334,1.0,1.89873417721519,1.0,0.05837777777777779,inf,0.5399239543726236,0.23417721518987344,1.0,0.6170886075949367
"Laptop, Keyboard, Headphones",Mouse,0.12333333333333334,0.5266666666666666,0.12333333333333334,1.0,1.89873417721519,1.0,0.05837777777777779,inf,0.5399239543726236,0.23417721518987344,1.0,0.6170886075949367
"Laptop, Monitor, Keyboard",Mouse,0.1,0.5266666666666666,0.1,1.0,1.89873417721519,1.0,0.04733333333333334,inf,0.5259259259259259,0.18987341772151903,1.0,0.5949367088607596
"Laptop, USB Cable, Keyboard",Mouse,0.1,0.5266666666666666,0.1,1.0,1.89873417721519,1.0,0.04733333333333334,inf,0.5259259259259259,0.18987341772151903,1.0,0.5949367088607596
"Laptop, Mouse, Headphones",Keyboard,0.17333333333333334,0.39,0.12333333333333334,0.7115384615384616,1.824457593688363,1.0,0.05573333333333333,2.114666666666667,0.5466434176111594,0.28030303030303033,0.5271122320302648,0.5138888888888888
"Mouse, Headphones",Keyboard,0.17333333333333334,0.39,0.12333333333333334,0.7115384615384616,1.824457593688363,1.0,0.05573333333333333,2.114666666666667,0.5466434176111594,0.28030303030303033,0.5271122320302648,0.5138888888888888
"Laptop, Headphones",Keyboard,0.17333333333333334,0.39,0.12333333333333334,0.7115384615384616,1.824457593688363,1.0,0.05573333333333333,2.114666666666667,0.5466434176111594,0.28030303030303033,0.5271122320302648,0.5138888888888888
"Mouse, Keyboard",Laptop,0.3433333333333333,0.55,0.3433333333333333,1.0,1.8181818181818181,1.0,0.15449999999999997,inf,0.6852791878172587,0.6242424242424242,1.0,0.812121212121212
"Mouse, Headphones",Laptop,0.17333333333333334,0.55,0.17333333333333334,1.0,1.8181818181818181,1.0,0.078,inf,0.5443548387096775,0.3151515151515151,1.0,0.6575757575757576
"Monitor, Keyboard",Laptop,0.1,0.55,0.1,1.0,1.8181818181818181,1.0,0.045,inf,0.49999999999999994,0.18181818181818182,1.0,0.5909090909090909
"Keyboard, Headphones",Laptop,0.12333333333333334,0.55,0.12333333333333334,1.0,1.8181818181818181,1.0,0.055499999999999994,inf,0.5133079847908745,0.22424242424242424,1.0,0.6121212121212121
"Mouse, Monitor, USB Cable, Keyboard",Laptop,0.1,0.55,0.1,1.0,1.8181818181818181,1.0,0.045,inf,0.49999999999999994,0.18181818181818182,1.0,0.5909090909090909
"USB Cable, Monitor, Keyboard",Laptop,0.1,0.55,0.1,1.0,1.8181818181818181,1.0,0.045,inf,0.49999999999999994,0.18181818181818182,1.0,0.5909090909090909
"USB Cable, Keyboard",Laptop,0.1,0.55,0.1,1.0,1.8181818181818181,1.0,0.045,inf,0.49999999999999994,0.18181818181818182,1.0,0.5909090909090909
"USB Cable, Monitor, Mouse",Laptop,0.13,0.55,0.13,1.0,1.8181818181818181,1.0,0.058499999999999996,inf,0.5172413793103448,0.23636363636363636,1.0,0.6181818181818182
"Mouse, Monitor",Laptop,0.13,0.55,0.13,1.0,1.8181818181818181,1.0,0.058499999999999996,inf,0.5172413793103448,0.23636363636363636,1.0,0.6181818181818182
"Mouse, USB Cable",Laptop,0.13,0.55,0.13,1.0,1.8181818181818181,1.0,0.058499999999999996,inf,0.5172413793103448,0.23636363636363636,1.0,0.6181818181818182
"Mouse, Keyboard, Headphones",Laptop,0.12333333333333334,0.55,0.12333333333333334,1.0,1.8181818181818181,1.0,0.055499999999999994,inf,0.5133079847908745,0.22424242424242424,1.0,0.6121212121212121
"Mouse, USB Cable, Keyboard",Laptop,0.1,0.55,0.1,1.0,1.8181818181818181,1.0,0.045,inf,0.49999999999999994,0.18181818181818182,1.0,0.5909090909090909
"Mouse, Monitor, Keyboard",Laptop,0.1,0.55,0.1,1.0,1.8181818181818181,1.0,0.045,inf,0.49999999999999994,0.18181818181818182,1.0,0.5909090909090909
Laptop,"Mouse, Keyboard",0.55,0.3433333333333333,0.3433333333333333,0.6242424242424242,1.818181818181818,1.0,0.15449999999999997,1.74758064516129,1.0,0.6242424242424242,0.4277803414859251,0.812121212121212
Keyboard,"Laptop, Mouse",0.39,0.49333333333333335,0.3433333333333333,0.8803418803418803,1.7844767844767844,1.0,0.1509333333333333,4.234285714285713,0.7206748368613718,0.6358024691358024,0.7638326585695007,0.7881439131439132
"Laptop, Mouse",Keyboard,0.49333333333333335,0.39,0.3433333333333333,0.6959459459459459,1.7844767844767844,1.0,0.1509333333333333,2.006222222222222,0.8676545733265202,0.6358024691358024,0.5015507310589278,0.7881439131439132
Laptop,Mouse,0.55,0.5266666666666666,0.49333333333333335,0.896969696969697,1.703107019562716,1.0,0.20366666666666666,4.594117647058824,0.9174174174174174,0.8457142857142859,0.7823303457106274,0.9168392788645954
Mouse,Laptop,0.5266666666666666,0.55,0.49333333333333335,0.9367088607594938,1.7031070195627158,1.0,0.20366666666666666,7.110000000000011,0.8721926151503615,0.8457142857142859,0.8593530239099861,0.9168392788645954
Keyboard,Mouse,0.39,0.5266666666666666,0.3433333333333333,0.8803418803418803,1.6715352158390133,1.0,0.13793333333333332,3.9557142857142855,0.6586025783861212,0.5988372093023256,0.7472011556518598,0.7661203072595477
Mouse,Keyboard,0.5266666666666666,0.39,0.3433333333333333,0.6518987341772152,1.6715352158390133,1.0,0.13793333333333332,1.7523636363636366,0.8487624777792969,0.5988372093023256,0.42934218717576267,0.7661203072595477
Keyboard,Laptop,0.39,0.55,0.3433333333333333,0.8803418803418803,1.6006216006216005,1.0,0.1288333333333333,3.760714285714285,0.6151519974534456,0.5754189944134078,0.7340930674264007,0.7522921522921522
Laptop,Keyboard,0.55,0.39,0.3433333333333333,0.6242424242424242,1.6006216006216003,1.0,0.1288333333333333,1.6233870967741932,0.8338727076591154,0.5754189944134078,0.38400397416790844,0.7522921522921522
